Data;Godzina;CROs;CROz;Niezbilansowanie
20211227;1;529,36;529,36;136,194
20211227;2;460,10;460,10;697,905
20211227;3;443,84;443,84;548,372
20211227;4;427,63;427,63;766,842
20211227;5;441,59;441,59;603,900
20211227;6;486,52;486,52;435,349
20211227;7;509,41;509,41;27,662
20211227;8;519,16;519,16;644,748
20211227;9;519,17;519,17;646,959
20211227;10;582,55;582,55;333,124
20211227;11;713,93;713,93;218,069
20211227;12;718,56;718,56;365,413
20211227;13;718,56;718,56;123,930
20211227;14;718,56;718,56;280,551
20211227;15;713,93;713,93;120,887
20211227;16;718,56;718,56;203,244
20211227;17;802,01;802,01;149,915
20211227;18;695,47;695,47;460,784
20211227;19;579,36;579,36;315,332
20211227;20;590,06;590,06;199,643
20211227;21;640,34;640,34;231,134
20211227;22;-;-;-
20211227;23;-;-;-
20211227;24;-;-;-
