Data;Godzina;CRO;CROs;CROz;Stan zakontraktowania;Niezbilansowanie
20220101;1;70,00;70,00;70,00;625,39;643,21
20220101;2;70,00;70,00;70,00;727,38;323,10
20220101;3;150,00;150,00;150,00;696,88;155,31
20220101;4;150,00;150,00;150,00;818,38;502,94
20220101;5;190,00;162,61;162,61;754,70;113,95
20220101;6;190,00;188,37;188,37;745,88;11,18
20220101;7;190,00;190,00;190,00;728,96;65,33
20220101;8;190,00;190,00;190,00;723,12;86,52
20220101;9;150,00;150,00;150,00;590,96;17,82
20220101;10;69,73;69,73;69,73;953,78;441,92
20220101;11;90,20;90,20;90,20;701,49;506,99
20220101;12;200,00;200,00;200,00;690,32;561,89
20220101;13;422,39;407,18;407,18;489,14;274,04
20220101;14;450,99;426,98;426,98;277,69;231,29
20220101;15;426,57;426,57;426,57;721,73;547,07
20220101;16;426,57;426,57;426,57;711,03;520,61
20220101;17;463,03;463,03;463,03;279,50;304,83
20220101;18;460,05;460,05;460,05;743,78;924,16
20220101;19;439,60;439,60;439,60;857,46;907,89
20220101;20;456,47;456,47;456,47;633,24;654,55
20220101;21;463,03;463,03;463,03;602,81;514,01
20220101;22;412,65;412,65;412,65;759,38;709,48
20220101;23;421,98;421,98;421,98;669,01;675,01
20220101;24;452,42;390,73;390,73;9,89;171,88
20220102;1;426,08;398,08;398,08;349,02;258,11
20220102;2;349,87;337,26;337,26;656,38;669,20
20220102;3;190,00;190,00;190,00;728,73;466,52
20220102;4;150,00;150,00;150,00;853,55;273,57
20220102;5;78,00;78,00;78,00;995,08;242,04
20220102;6;150,00;150,00;150,00;883,06;70,27
20220102;7;150,00;150,00;150,00;883,67;129,65
20220102;8;150,00;150,00;150,00;823,79;123,42
20220102;9;150,00;150,00;150,00;764,49;523,42
20220102;10;69,64;69,64;69,64;927,76;907,23
20220102;11;69,55;69,55;69,55;1337,88;1353,35
20220102;12;60,01;60,01;60,01;1764,12;1773,25
20220102;13;69,55;69,55;69,55;1334,66;1489,64
20220102;14;70,00;70,00;70,00;1378,59;1339,36
20220102;15;250,00;250,00;250,00;1187,43;986,06
20220102;16;421,99;403,55;403,55;854,23;925,57
20220102;17;363,92;363,92;363,92;1528,91;1640,99
20220102;18;363,92;363,92;363,92;1518,50;1649,39
