Data;Godz.;Dobowa prognoza zapotrzebowania KSE;Rzeczywiste zapotrzebowanie KSE
20211227;1;16750;16956,800
20211227;2;16400;16433,838
20211227;3;16400;16127,975
20211227;4;16550;16046,988
20211227;5;17450;16485,650
20211227;6;19200;17323,763
20211227;7;21750;19615,613
20211227;8;23400;21453,875
20211227;9;24700;22931,013
20211227;10;25150;24179,288
20211227;11;25100;24663,463
20211227;12;25000;24901,350
20211227;13;25000;24765,425
20211227;14;24950;24836,063
20211227;15;24200;24550,075
20211227;16;25000;24240,350
20211227;17;25050;24809,575
20211227;18;25000;24749,925
20211227;19;24550;24380,600
20211227;20;24050;24242,950
20211227;21;23400;23579,500
20211227;22;22050;-
20211227;23;20800;-
20211227;24;19650;-
